Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
124,"LLR Wolfenbarger, SE Naranjo, JG Lundgren…","Bt crop effects on functional guilds of non-target arthropods: a meta-analysis",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=14217063321894864549&as_sdt=5,30&sciodt=0,30&hl=en&num=20",326,2013-04-26,"HTML"
122,"R Leimu, M Fischer","A meta-analysis of local adaptation in plants",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=10744280743980907492&as_sdt=5,30&sciodt=0,30&hl=en&num=20",183,2013-04-26,"HTML"
121,"AM Reynolds, MA Frye","Free-flight odor tracking in Drosophila is consistent with an optimal intermittent scale-free search",2007,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=13275012897195573066&as_sdt=5,30&sciodt=0,30&hl=en&num=20",184,2013-04-26,"HTML"
121,"M Coll, C Piroddi, J Steenbeek, K Kaschner…","The biodiversity of the Mediterranean Sea: estimates, patterns, and threats",2010,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=14669848495014044400&as_sdt=5,30&sciodt=0,30&hl=en&num=20",926,2013-04-26,"HTML"
120,"F Armougom, M Henry, B Vialettes, D Raccah, D Raoult","Monitoring bacterial community of human gut microbiota reveals an increase in Lactobacillus in obese patients and Methanogens in anorexic patients",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=7079626558684913724&as_sdt=5,30&sciodt=0,30&hl=en&num=20",248,2013-04-26,"HTML"
120,"LJ Abu-Raddad, AS Magaret, C Celum, A Wald…","Genital herpes has played a more important role than any other sexually transmitted infection in driving HIV prevalence in Africa",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=10773995283416230326&as_sdt=5,30&sciodt=0,30&hl=en&num=20",297,2013-04-26,"HTML"
119,"A Fouquet, A Gilles, M Vences, C Marty, M Blanc…","Underestimation of species richness in Neotropical frogs revealed by mtDNA analyses",2007,"PLoS one","dx.plos.org","","http://scholar.google.com/scholar?cites=1686990405077494964&as_sdt=5,30&sciodt=0,30&hl=en&num=20",217,2013-04-26,"HTML"
119,"MD Humphries, K Gurney","Network 'small-world-ness': a quantitative method for determining canonical network equivalence",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=2015998102616016634&as_sdt=5,30&sciodt=0,30&hl=en&num=20",309,2013-04-26,"HTML"
114,"O Sakarya, KA Armstrong, M Adamska, M Adamski…","A post-synaptic scaffold at the origin of the animal kingdom",2007,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=14448121908389100073&as_sdt=5,30&sciodt=0,30&hl=en&num=20",313,2013-04-26,"HTML"
112,"NS Sodhi, D Bickford, AC Diesmos, TM Lee, LP Koh…","Measuring the meltdown: drivers of global amphibian extinction and decline",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=3214730264302526749&as_sdt=5,30&sciodt=0,30&hl=en&num=20",150,2013-04-26,"HTML"
111,"JA Van Gils, VJ Munster, R Radersma, D Liefhebber…","Hampered foraging and migratory performance in swans infected with low-pathogenic avian influenza A virus",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=14766340089795577581&as_sdt=5,30&sciodt=0,30&hl=en&num=20",92,2013-04-26,"HTML"
110,"CT Zhang","The e-index, complementing the h-index for excess citations",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=2251682485672693794&as_sdt=5,30&sciodt=0,30&hl=en&num=20",987,2013-04-26,"HTML"
108,"AW Miller, AC Reynolds, C Sobrino, GF Riedel","Shellfish face uncertain future in high CO2 world: influence of acidification on oyster larvae calcification and growth in estuaries",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=11396618931342482756&as_sdt=5,30&sciodt=0,30&hl=en&num=20",300,2013-04-26,"HTML"
107,"WM Getz, S Fortmann-Roe, PC Cross, AJ Lyons…","LoCoH: nonparameteric kernel methods for constructing home ranges and utilization distributions",2007,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=16524548424465860040&as_sdt=5,30&sciodt=0,30&hl=en&num=20",181,2013-04-26,"HTML"
107,"J Hayes, RM Underwood, J Pettis","A survey of honey bee colony losses in the US, fall 2007 to spring 2008",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=2312121745630823073&as_sdt=5,30&sciodt=0,30&hl=en&num=20",345,2013-04-26,"HTML"
107,"M Jiu, XP Zhou, L Tong, J Xu, X Yang, FH Wan, SS Liu","Vector-virus mutualism accelerates population increase of an invasive whitefly",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=15416960104459659775&as_sdt=5,30&sciodt=0,30&hl=en&num=20",346,2013-04-26,"HTML"
107,"J Bollen, H Van de Sompel, A Hagberg, L Bettencourt…","Clickstream data yields high-resolution maps of science",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=4472809234966455034&as_sdt=5,30&sciodt=0,30&hl=en&num=20",378,2013-04-26,"HTML"
103,"AB Martín-Cuadrado, P López-García, JC Alba…","Metagenomics of the deep Mediterranean, a warm bathypelagic habitat",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=17047160044604973811&as_sdt=5,30&sciodt=0,30&hl=en&num=20",462,2013-04-26,"HTML"
103,"M Finer, CN Jenkins, SL Pimm, B Keane, C Ross","Oil and gas projects in the western Amazon: Threats to wilderness, biodiversity, and indigenous peoples",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=520384692977472299&as_sdt=5,30&sciodt=0,30&hl=en&num=20",662,2013-04-26,"HTML"
101,"SH Peckham, DM Diaz, A Walli, G Ruiz, LB Crowder…","Small-scale fisheries bycatch jeopardizes endangered Pacific loggerhead turtles",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=10951890890258558017&as_sdt=5,30&sciodt=0,30&hl=en&num=20",163,2013-04-26,"HTML"
100,"PM Hollingsworth, SW Graham, DP Little","Choosing and using a plant DNA barcode",2011,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=12154951164212764601&as_sdt=5,30&sciodt=0,30&hl=en&num=20",302,2013-04-26,"HTML"
99,"I Hershkovitz, HD Donoghue, DE Minnikin, GS Besra…","Detection and molecular characterization of 9000-year-old Mycobacterium tuberculosis from a Neolithic settlement in the Eastern Mediterranean",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=4811755851763926757&as_sdt=5,30&sciodt=0,30&hl=en&num=20",739,2013-04-26,"HTML"
99,"RD Gregory, SG Willis, F Jiguet, P Voříšek, A Klvaňová…","An indicator of the impact of climatic change on European bird populations",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=4324182881670334225&as_sdt=5,30&sciodt=0,30&hl=en&num=20",837,2013-04-26,"HTML"
94,"SYW Ho, U Saarma, R Barnett, J Haile, B Shapiro","The effect of inappropriate calibration: three case studies in molecular ecology",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=16823404738181641362&as_sdt=5,30&sciodt=0,30&hl=en&num=20",2,2013-04-26,"HTML"
93,"PC Blainey, AC Mosier, A Potanina, CA Francis…","Genome of a low-salinity ammonia-oxidizing archaeon determined by single-cell and metagenomic analysis",2011,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=16355867366363518989&as_sdt=5,30&sciodt=0,30&hl=en&num=20",821,2013-04-26,"HTML"
93,"D Sumilo, L Asokliene, A Bormane, V Vasilenko…","Climate change cannot explain the upsurge of tick-borne encephalitis in the Baltics",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=11701992544254147170&as_sdt=5,30&sciodt=0,30&hl=en&num=20",953,2013-04-26,"HTML"
91,"MW Cadotte, J Cavender-Bares, D Tilman, TH Oakley","Using phylogenetic, functional and trait diversity to understand patterns of plant community productivity",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=18027471055499088942&as_sdt=5,30&sciodt=0,30&hl=en&num=20",104,2013-04-26,"HTML"
90,"A Lancichinetti, F Radicchi, JJ Ramasco, S Fortunato","Finding statistically significant communities in networks",2011,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=14540815023566356837&as_sdt=5,30&sciodt=0,30&hl=en&num=20",410,2013-04-26,"HTML"
88,"HE Jakobsson, C Jernberg, AF Andersson…","Short-term antibiotic treatment has differing long-term impacts on the human throat and gut microbiome",2010,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=3706120851907025229&as_sdt=5,30&sciodt=0,30&hl=en&num=20",86,2013-04-26,"HTML"
88,"BS Finkelman, C Viboud, K Koelle, MJ Ferrari, N Bharti…","Global patterns in seasonal activity of influenza A/H3N2, A/H1N1, and B from 1997 to 2005: viral coexistence and latitudinal gradients",2007,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=1989822406378670115&as_sdt=5,30&sciodt=0,30&hl=en&num=20",318,2013-04-26,"HTML"
88,"V Zijnge, MBM van Leeuwen, JE Degener, F Abbas…","Oral biofilm architecture on natural teeth",2010,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=127002245739497141&as_sdt=5,30&sciodt=0,30&hl=en&num=20",879,2013-04-26,"HTML"
86,"B Huntley, YC Collingham, SG Willis, RE Green","Potential impacts of climatic change on European breeding birds",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=4947578096578849042&as_sdt=5,30&sciodt=0,30&hl=en&num=20",275,2013-04-26,"HTML"
86,"N Ospina-Alvarez, F Piferrer","Temperature-dependent sex determination in fish revisited: prevalence, a single sex ratio response pattern, and possible effects of climate change",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=11409050951678446651&as_sdt=5,30&sciodt=0,30&hl=en&num=20",939,2013-04-26,"HTML"
85,"DM Aanensen, DM Huntley, EJ Feil, BG Spratt","EpiCollect: linking smartphones to web applications for epidemiology, ecology and community data collection",2009,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=9312076656515374265&as_sdt=5,30&sciodt=0,30&hl=en&num=20",3,2013-04-26,"HTML"
84,"PE Higuera, LB Brubaker, PM Anderson, TA Brown…","Frequent fires in ancient shrub tundra: implications of paleorecords for arctic environmental change",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=7185476416323907242&as_sdt=5,30&sciodt=0,30&hl=en&num=20",332,2013-04-26,"HTML"
84,"PD Schloss, D Gevers, SL Westcott","Reducing the effects of PCR amplification and sequencing artifacts on 16S rRNA-based studies",2011,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=15554366373072063269&as_sdt=5,30&sciodt=0,30&hl=en&num=20",559,2013-04-26,"HTML"
83,"J Ross-Ibarra, SI Wright, JP Foxe, A Kawabe…","Patterns of polymorphism and demographic history in natural populations of Arabidopsis lyrata",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=12619209345184003027&as_sdt=5,30&sciodt=0,30&hl=en&num=20",324,2013-04-26,"HTML"
82,"JE Byrnes, PL Reynolds, JJ Stachowicz","Invasions and extinctions reshape coastal marine food webs",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=16589642162931680914&as_sdt=5,30&sciodt=0,30&hl=en&num=20",83,2013-04-26,"HTML"
81,"MJ Stringer, M Sales-Pardo, LAN Amaral","Effectiveness of journal ranking schemes as a tool for locating information",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=17912833657206085237&as_sdt=5,30&sciodt=0,30&hl=en&num=20",101,2013-04-26,"HTML"
81,"DTS Hayman, R Suu-Ire, AC Breed, JA McEachern…","Evidence of henipavirus infection in West African fruit bats",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=10213891380556698017&as_sdt=5,30&sciodt=0,30&hl=en&num=20",205,2013-04-26,"HTML"
81,"D Fanelli","Do pressures to publish increase scientists' bias? An empirical support from US States Data",2010,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=3941893913216544508&as_sdt=5,30&sciodt=0,30&hl=en&num=20",232,2013-04-26,"HTML"
80,"JPW Scharlemann, D Benz, SI Hay, BV Purse…","Global data for ecology and epidemiology: a novel algorithm for temporal Fourier processing MODIS data",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=3962616083273346813&as_sdt=5,30&sciodt=0,30&hl=en&num=20",4,2013-04-26,"HTML"
80,"JJ Duan, M Marvier, J Huesing, G Dively, ZY Huang","A meta-analysis of effects of Bt crops on honey bees (Hymenoptera: Apidae)",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=6153859525738451559&as_sdt=5,30&sciodt=0,30&hl=en&num=20",379,2013-04-26,"HTML"
79,"AJ Gassmann, JL Petzold-Maxwell, RS Keweshan…","Field-evolved resistance to Bt maize by western corn rootworm",2011,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=9141772152782928802&as_sdt=5,30&sciodt=0,30&hl=en&num=20",374,2013-04-26,"HTML"
78,"SHM Butchart, HR Akçakaya, J Chanson, JEM Baillie…","Improvements to the red list index",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=16491250733724409307&as_sdt=5,30&sciodt=0,30&hl=en&num=20",352,2013-04-26,"HTML"
78,"MJ Costello, M Coll, R Danovaro, P Halpin, H Ojaveer…","A census of marine biodiversity knowledge, resources, and future challenges",2010,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=17800985143322703753&as_sdt=5,30&sciodt=0,30&hl=en&num=20",361,2013-04-26,"HTML"
78,"G Diaz-Pulido, LJ McCook, S Dove, R Berkelmans…","Doom and boom on a resilient reef: climate change, algal overgrowth and coral recovery",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=10486825344697811426&as_sdt=5,30&sciodt=0,30&hl=en&num=20",657,2013-04-26,"HTML"
77,"Y Wang, PY Qian","Conservative fragments in bacterial 16S rRNA genes and primer design for 16S ribosomal DNA amplicons in metagenomic studies",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=3995164064349592459&as_sdt=5,30&sciodt=0,30&hl=en&num=20",469,2013-04-26,"HTML"
77,"AC Little, BC Jones, C Waitt, BP Tiddeman…","Symmetry is related to sexual dimorphism in faces: data across culture and species",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=16025425341443450146&as_sdt=5,30&sciodt=0,30&hl=en&num=20",975,2013-04-26,"HTML"
76,"B Seidel, A Thomzig, A Buschmann, MH Groschup…","Scrapie agent (strain 263K) can transmit disease via the oral route after persistence in soil over years",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=3283095891960770312&as_sdt=5,30&sciodt=0,30&hl=en&num=20",95,2013-04-26,"HTML"
76,"BA Polidoro, KE Carpenter, L Collins, NC Duke…","The loss of species: mangrove extinction risk and geographic areas of global concern",2010,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=13581673338831532527&as_sdt=5,30&sciodt=0,30&hl=en&num=20",430,2013-04-26,"HTML"
75,"JP Swaddle, SE Calos","Increased avian diversity is associated with lower incidence of human West Nile infection: observation of the dilution effect",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=2957906827725061326&as_sdt=5,30&sciodt=0,30&hl=en&num=20",412,2013-04-26,"HTML"
74,"KY Lim, DE Soltis, PS Soltis, J Tate, R Matyasek…","Rapid chromosome evolution in recently formed polyploids in Tragopogon (Asteraceae)",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=7127154596024274539&as_sdt=5,30&sciodt=0,30&hl=en&num=20",687,2013-04-26,"HTML"
73,"PJ Mumby, AR Harborne","Marine reserves enhance the recovery of corals on Caribbean reefs",2010,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=12429205628906249326&as_sdt=5,30&sciodt=0,30&hl=en&num=20",100,2013-04-26,"HTML"
72,"TG Martin, I Chadès, P Arcese, PP Marra…","Optimal conservation of migratory species",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=5622333282643204036&as_sdt=5,30&sciodt=0,30&hl=en&num=20",175,2013-04-26,"HTML"
71,"A Qu, JM Brulc, MK Wilson, BF Law, JR Theoret…","Comparative metagenomics reveals host specific metavirulomes and horizontal gene transfer elements in the chicken cecum microbiome",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=7067622931716524932&as_sdt=5,30&sciodt=0,30&hl=en&num=20",308,2013-04-26,"HTML"
70,"AL Hartman, C Norais, JH Badger, S Delmas…","The complete genome sequence of Haloferax volcanii DS2, a model archaeon",2010,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=11404155739305209330&as_sdt=5,30&sciodt=0,30&hl=en&num=20",144,2013-04-26,"HTML"
70,"TA Sangster, A Bahrami, A Wilczek, E Watanabe…","Phenotypic diversity and altered environmental plasticity in Arabidopsis thaliana with reduced Hsp90 levels",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=13402789276692042124&as_sdt=5,30&sciodt=0,30&hl=en&num=20",482,2013-04-26,"HTML"
69,"CM Gomes, C Boesch","Wild chimpanzees exchange meat for sex on a long-term basis",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=16350843537007013489&as_sdt=5,30&sciodt=0,30&hl=en&num=20",327,2013-04-26,"HTML"
69,"LA Amaral-Zettler, EA McCliment, HW Ducklow…","A method for studying protistan diversity using massively parallel sequencing of V9 hypervariable regions of small-subunit ribosomal RNA genes",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=18378055415949510841&as_sdt=5,30&sciodt=0,30&hl=en&num=20",405,2013-04-26,"HTML"
69,"I Sobhani, J Tap, F Roudot-Thoraval, JP Roperch…","Microbial dysbiosis in colorectal cancer (CRC) patients",2011,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=16434057365607496402&as_sdt=5,30&sciodt=0,30&hl=en&num=20",646,2013-04-26,"HTML"
68,"ER Selig, JF Bruno","A global analysis of the effectiveness of marine protected areas in preventing coral loss",2010,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=14311736227158844509&as_sdt=5,30&sciodt=0,30&hl=en&num=20",134,2013-04-26,"HTML"
68,"JL Tella, JA Lemus, M Carrete, G Blanco","The PHA test reflects acquired T-cell mediated immunocompetence in birds",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=13452234008806667926&as_sdt=5,30&sciodt=0,30&hl=en&num=20",247,2013-04-26,"HTML"
68,"LN Joppa, A Pfaff","High and far: biases in the location of protected areas",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=9475773973453501553&as_sdt=5,30&sciodt=0,30&hl=en&num=20",341,2013-04-26,"HTML"
68,"C Matz, JS Webb, PJ Schupp, SY Phang, A Penesyan…","Marine biofilm bacteria evade eukaryotic predation by targeted chemical defense",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=15696405214514167644&as_sdt=5,30&sciodt=0,30&hl=en&num=20",491,2013-04-26,"HTML"
